"Story","Title","Result","Date","Stability","Duration (s)"
"PDP-1 - PDP Pricing","VIR-261.04 Verify that the subtotal is changed accordingly if delivery method is changed","PENDING","2017-08-11T14:08:23.923+03:00","0.0","0.0"
"PDP-1 - PDP Pricing","VIR-261.05 Verify that the subtotal is changed accordingly if contract is changed","PENDING","2017-08-11T14:08:24.046+03:00","0.0","0.0"
"PDP-4 - Product Specifications","VIR-262.01 Verify that the customer can see the product specification in a separate tab","PENDING","2017-08-11T14:08:24.676+03:00","0.0","0.0"
"PDP-4 - Product Specifications","VIR-262.02 Verify that the terms are shown when click on the tab name","PENDING","2017-08-11T14:08:24.795+03:00","0.0","0.0"
"PDP-4 - Product Specifications","VIR-262.03 Verify that the appropriate content is shown","PENDING","2017-08-11T14:08:24.970+03:00","0.0","0.0"
"PDP-5 - Tier 1 and 2 Pricing","VIR-263.01 Verify that the lowest and the highest prices are shown to the shopper for each product at the following pages","PENDING","2017-08-11T14:08:25.096+03:00","0.0","0.0"
"PDP-7 - Family Series","VIR-264.01 Verify that the following information is shown at the slot 1","PENDING","2017-08-11T14:08:25.252+03:00","0.0","0.0"
"PDP-7 - Family Series","VIR-264.02 Verify that the proper data are shown for the product","PENDING","2017-08-11T14:08:25.418+03:00","0.0","0.0"
"PDP-8 - Grade Level","VIR-265.01 Verify that the following information is shown at the slot 2","PENDING","2017-08-11T14:08:25.564+03:00","0.0","0.0"
"PDP-8 - Grade Level","VIR-265.01 Verify that the proper data are shown for the product","PENDING","2017-08-11T14:08:25.728+03:00","0.0","0.0"
"PDP-9 - View Specifications","VIR-266.01 Verify that the link to view specification is shown to the customer","PENDING","2017-08-11T14:08:25.905+03:00","0.0","0.0"
"PDP-9 - View Specifications","VIR-266.02 Verify that when customer hovers the link, the preview information message with details of the specification is shown","PENDING","2017-08-11T14:08:26.082+03:00","0.0","0.0"
"PDP-9 - View Specifications","VIR-266.03 Verify that the informational page of the specification is shown when user clicks on the link","PENDING","2017-08-11T14:08:26.239+03:00","0.0","0.0"
"PDP-10 - Configurations","VIR-267.02 Verify that the proper data are shown for the product","PENDING","2017-08-11T14:08:21.439+03:00","0.0","0.0"
"PDP-10 - Configurations","VIR-267.03 Verify that the third row content slot is shown for the product when the product has at least one of these attributes","PENDING","2017-08-11T14:08:21.536+03:00","0.0","0.0"
"CMP-1 - Customer Role Support","VIR-269.01 Verify that the Chief can assign the role to the shopper","PENDING","2017-08-11T14:07:58.146+03:00","0.0","0.0"
"CMP-1 - Customer Role Support","VIR-269.02 Verify that the Chief can change the role to the shopper","PENDING","2017-08-11T14:07:58.548+03:00","0.0","0.0"
"CMP-1 - Customer Role Support","VIR-269.03 Verify that the Chief can assign permission to the admin/stuff shoppers for the","PENDING","2017-08-11T14:07:58.825+03:00","0.0","0.0"
"CMP-2 - Account Hierarchy","VIR-270.01 Verify that the Chief can assign the user to one of the following user group within My Company → Users","PENDING","2017-08-11T14:07:59.054+03:00","0.0","0.0"
"CMP-2 - Account Hierarchy","VIR-270.02 Verify that the user has the appropriate assigned group permissions","PENDING","2017-08-11T14:07:59.172+03:00","0.0","0.0"
"CMP-3 - Buying Authorities","VIR-271.01 Verify that the Chief can configure buying authorities within My Company →Users","PENDING","2017-08-11T14:07:59.283+03:00","0.0","0.0"
